'Page Number,'Type,'Text,'Confidence Score % (Line),
"'1","'LINE","'(12) Nothing in this article overrides the requirement to obtain scheduled monument consent","'99.89903259"
"'1","'LINE","'under the Ancient Monuments and Archaeological Areas Act 1979(a).","'99.54985046"
"'1","'LINE","'Mode of construction and operation of tramway","'99.77381897"
"'1","'LINE","'24.-(1) The authorised tramway must be operated by electricity or. in an emergency or for the","'98.12277222"
"'1","'LINE","'purposes of maintenance, by diesel power or other means.","'93.45591736"
"'1","'LINE","'(2) The authorised tramway must be constructed on a nominal gauge of 1.435 millimetres.","'94.53242493"
"'1","'LINE","'(3) Where the authorised tramway is constructed along a street or in any place to which the","'99.92787933"
"'1","'LINE","'public has access (including any place to which the public has access only on making a payment).","'97.66839600"
"'1","'LINE","'the Authority must take such care as in all the circumstances is reasonable to ensure that the","'99.96971893"
"'1","'LINE","'authorised tramway is constructed and maintained so that the street or other place is safe for other","'99.28141022"
"'1","'LINE","'users.","'97.89244843"
"'1","'LINE","'(4) When considering what measures are required under paragraph (3) the Authority must have","'99.93485260"
"'1","'LINE","'particular regard to the character and usage of the street or other place and to those who could","'99.95077515"
"'1","'LINE","'reasonably be expected to use it.","'99.84999084"
"'1","'LINE","'(5) Where the authorised street tramway has been constructed in a street, works by any person","'99.67953491"
"'1","'LINE","'which affect or are likely to affect the Authority's obligations under paragraph (3). including","'98.27284241"
"'1","'LINE","'works to any street surfaces and works affecting any equipment or apparatus placed in the street","'99.93660736"
"'1","'LINE","'under article 11 (power to keep apparatus in streets) must not be carried out without the consent of","'99.87246704"
"'1","'LINE","'the Authority, which may be given subject to such reasonable terms and conditions as the","'98.56443024"
"'1","'LINE","'Authority may require but must not be unreasonably withheld","'96.70528412"
"'1","'LINE","'Obstruction of construction of authorised works","'99.89598083"
"'1","'LINE","'25. Any person who, without reasonable excuse-","'97.87041473"
"'1","'LINE","'(a) obstructs another person acting under the authority of the Authority in setting out the","'99.94038391"
"'1","'LINE","'lines of the scheduled works, or in constructing any of the authorised works: or","'97.87672424"
"'1","'LINE","'(b) interferes with. moves or removes any apparatus belonging to any person acting under the","'99.60251617"
"'1","'LINE","'authority of the Authority,","'98.65192413"
"'1","'LINE","'is guilty of an offence and liable on summary conviction to a fine not exceeding level 3 on the","'99.92211151"
"'1","'LINE","'standard scale.","'98.18588257"
"'1","'LINE","'Power to construct temporary tramways","'99.11862183"
"'1","'LINE","'26.-(1) The Authority may, if it considers it necessary or expedient in consequence of any","'97.83371735"
"'1","'LINE","'street works executed or proposed to be executed in a street along which an authorised street","'99.93241119"
"'1","'LINE","'tramway is constructed-","'98.80043030"
"'1","'LINE","'(a) remove or discontinue the operation of the authorised street tramway; and","'99.61428070"
"'1","'LINE","'(b) lay, maintain and operate in that street or in a street near to that street a temporary","'99.73126984"
"'1","'LINE","'tramway in place of the authorised street tramway.","'99.73438263"
"'1","'LINE","'(2) The powers conferred by this article may only be exercised with the consent of the street","'99.93395233"
"'1","'LINE","'authority but such consent may not be unreasonably withheld","'97.22467804"
"'1","'LINE","'(3) The provisions of articles 10(2) (power to alter layout, etc., of streets), 11 (power to keep","'97.00765228"
"'1","'LINE","'apparatus in streets), 12 (power to execute street works) and 43 (traffic signs) apply in relation to","'99.22310638"
"'1","'LINE","'temporary tramways laid under the powers conferred by this article as they apply in relation to","'99.91077423"
"'1","'LINE","'authorised street tramways.","'98.46808624"
"'1","'LINE","'(a) 1979 c. 46.","'93.11898041"
"'1","'LINE","'20","'99.92671204"
