'Page Number,'Type,'Text,'Confidence Score % (Line),
"'1","'LINE","'effective use of all available resources: human resources.","'96.34637451"
"'1","'LINE","'Designated pilot examiner (DPE). An individual designated","'99.78367615"
"'1","'LINE","'hardware, and information. Human resource groups include","'95.51280975"
"'1","'LINE","'by the FAA to administer practical tests to pilot applicants.","'99.77693939"
"'1","'LINE","'but are not limited to pilots, dispatchers, cabin crewmembers,","'97.58403778"
"'1","'LINE","'maintenance personnel, and air traffic controllers.","'94.92855835"
"'1","'LINE","'Detonation. The sudden release of heat energy from fuel in","'98.95973206"
"'1","'LINE","'an aircraft engine caused by the fuel-air mixture reaching","'99.90171051"
"'1","'LINE","'Critical angle of attack. The angle of attack at which a wing","'99.85115051"
"'1","'LINE","'its critical pressure and temperature. Detonation occurs as a","'97.27931213"
"'1","'LINE","'stalls regardless of airspeed, flight attitude, or weight.","'97.55569458"
"'1","'LINE","'violent explosion rather than a smooth burning process.","'99.90061188"
"'1","'LINE","'CRM. See crew resource management.","'98.59064484"
"'1","'LINE","'Dew. Moisture that has condensed from water vapor. Usually","'99.63401031"
"'1","'LINE","'found on cooler objects near the ground, such as grass, as","'97.38577271"
"'1","'LINE","'Crossbar. The structural component of the WSC wing that","'99.69036865"
"'1","'LINE","'the near-surface layer of air cools faster than the layers of","'99.94930267"
"'1","'LINE","'holds the leading edges in place.","'99.93410492"
"'1","'LINE","'air above it.","'99.69711304"
"'1","'LINE","'Crosswind. Wind blowing across rather than parallel to","'99.35134888"
"'1","'LINE","'Dewpoint. The temperature at which air reaches a state of","'99.81184387"
"'1","'LINE","'the direction of flight. In a traffic pattern, the crosswind leg","'98.46585083"
"'1","'LINE","'water saturation.","'85.58857727"
"'1","'LINE","'is a flight path at right angles to the landing runway off its","'99.91839600"
"'1","'LINE","'upwind end.","'96.98527527"
"'1","'LINE","'Dihedral. The positive acute angle between the lateral","'99.88073730"
"'1","'LINE","'axis of an airplane and a line through the center of a wing","'99.92673492"
"'1","'LINE","'Crosswind component. The wind component, measured in","'96.60590363"
"'1","'LINE","'or horizontal stabilizer. Dihedral contributes to the lateral","'96.64395905"
"'1","'LINE","'knots. at 90° to the longitudinal axis of the runway.","'93.12498474"
"'1","'LINE","'stability of an aircraft.","'95.36179352"
"'1","'LINE","'Crosswind correction. Correction applied in order to","'99.47640228"
"'1","'LINE","'Directional stability. Stability about the vertical axis of an","'99.90524292"
"'1","'LINE","'maintain a straight ground track during flight when a","'99.92527008"
"'1","'LINE","'aircraft, whereby an aircraft tends to return, on its own. to","'93.98620605"
"'1","'LINE","'crosswind is present.","'99.32061768"
"'1","'LINE","'flight aligned with the relative wind when disturbed from that","'99.91023254"
"'1","'LINE","'equilibrium state. The wing design is the primary contributor","'99.50757599"
